codprod,codmarca,codepto,codsec
14057,13,2,10043
14426,39,10002,10033
14427,39,10002,10033
14178,13,1,10040
14179,13,1,10040
14417,39,10010,10028
14416,26,1,10040
14418,51,10002,10034
13550,39,10002,10038
13551,39,10002,10038
13552,39,10002,10038
13553,39,10002,10038
13554,39,10002,10031
13555,39,10002,10032
14413,26,1,10040
13708,8,10006,10011
13709,8,10006,10011
13710,8,10006,10011
13711,8,10006,10011
13712,8,10006,10011
13915,39,10002,10033
13918,10,2,10045
13604,39,10002,10034
14428,52,1,10040
14670,91,10010,10028
14671,91,10010,10028
14672,91,10010,10028
14180,13,1,10040
14181,13,1,10040
14182,13,1,10040
14775,39,10002,10033
14776,39,10010,10028
13556,39,10002,10032
13557,39,10002,10032
13558,39,10002,10031
13559,39,10002,10031
12670,39,1,10040
13697,8,10006,10011
14055,39,10002,10036
14324,81,1,10040
13773,39,10002,10031
14559,27,1,10040
14713,52,1,10041
14725,39,10002,10018
14726,39,10002,10036
13567,39,10002,10031
14183,13,1,10040
14184,13,1,10040
14185,13,1,10040
14788,39,10002,10034
13561,39,10002,10033
13698,8,10006,10011
13699,8,10006,10011
13700,8,10006,10011
13701,8,10006,10011
13702,8,10006,10011
14056,39,10002,10018
14079,39,10002,10036
14325,82,3,10046
14500,52,1,10041
14660,52,1,10042
13770,39,10002,10033
14739,39,10002,10036
14740,39,10002,10036
14741,39,10002,10036
14742,39,10002,10036
13703,8,10006,10011
13704,8,10006,10011
13705,8,10006,10011
13753,39,10002,10033
13754,39,10002,10032
14414,26,1,10041
15012,39,10010,10028
13734,39,10002,10038
13735,39,10002,10033
13736,39,10002,10031
13825,43,10010,10028
14091,39,10002,10033
14743,39,10002,10036
14316,59,1,10041
14317,59,1,10041
14318,59,1,10041
14319,59,1,10040
13579,39,10003,10014
13580,39,10003,10014
13581,39,10003,10014
13755,39,10002,10032
13756,39,10002,10038
13757,39,10002,10038
14090,39,10002,10033
14207,39,10002,10033
14248,39,10006,10011
14249,39,10006,10011
14250,39,10006,10011
14251,6,10006,10011
14419,28,1,10040
14661,87,1,10041
13713,39,10002,10018
13714,39,10002,10018
13715,39,10002,10018
13716,39,10002,10018
13717,39,10002,10018
13718,39,10002,10018
14710,13,1,10040
14186,13,1,10040
14320,59,1,10040
14322,59,1,10041
14521,52,1,10040
913601,1,1,10040
13641,39,10002,10032
13642,39,10002,10033
13658,3,1,10040
913658,3,1,10040
13758,39,10002,10038
14415,52,1,10040
14252,39,10006,10011
14253,39,10006,10011
14254,6,10006,10011
14255,6,10006,10011
14256,6,10006,10011
14662,91,10010,10028
13719,39,10002,10036
13742,39,10002,10018
13784,1,1,10040
13785,1,1,10040
13822,39,10002,10035
13823,39,10002,10034
14045,39,10002,10018
13845,44,1,10041
14543,1,1,10041
914543,1,1,10041
14544,1,1,10041
914544,1,1,10041
912801,1,1,10040
13786,1,1,10040
13787,1,1,10040
13788,1,1,10040
13789,1,1,10040
14200,13,1,10041
14257,6,10006,10011
14258,6,10006,10011
14663,91,10010,10028
14664,91,10010,10028
14665,91,10010,10028
13839,26,10011,10047
13895,39,10002,10038
13896,39,10002,10018
13897,39,10002,10036
13898,39,10002,10034
14046,47,10002,10034
14711,26,1,10040
14744,39,10002,10036
14792,39,10002,10034
13779,39,10002,10035
13780,39,10002,10035
13790,12,3,10046
13821,28,2,10045
14201,13,1,10041
14445,13,1,10040
14446,13,1,10040
13827,39,10002,10033
13828,39,10002,10034
13829,39,10002,10034
13830,39,10002,10034
13831,39,10002,10034
13832,39,10002,10034
14643,39,10002,10033
13647,38,10006,10011
13768,1,1,10040
913768,1,1,10040
14172,13,1,10040
14745,39,10002,10036
14746,39,10002,10033
13725,39,10002,10038
14760,39,10002,10018
14761,39,10002,10018
14831,96,10007,10048
13632,39,10002,10018
13633,39,10002,10018
13634,39,10002,10018
13635,39,10003,10014
13636,39,10002,10031
13637,39,10002,10031
14202,13,1,10042
14203,13,1,10042
14644,39,10002,10031
14645,39,10002,10031
14646,39,10002,10034
14648,39,10002,10034
14820,89,1,10041
912352,1,1,10041
13889,10,10011,10047
13914,39,10002,10032
14060,12,10011,10047
14747,39,10002,10036
14748,39,10002,10034
14749,39,10002,10034
14080,26,10011,10044
913619,3,1,10040
13764,26,2,10043
913770,1,1,10040
14204,13,1,10041
14205,13,1,10042
14218,39,10002,10035
14649,39,10002,10034
14650,39,10002,10033
13776,1,1,10040
13777,1,1,10040
13778,1,1,10040
14727,18,10011,10047
14750,39,10002,10036
14420,10,3,10046
13597,39,10002,10032
13611,7,2,10045
13613,1,1,10041
14206,13,1,10042
14447,14,1,10040
13727,39,10002,10033
14222,39,10002,10036
14651,39,10002,10033
14652,39,10002,10033
14653,39,10002,10033
14666,91,10010,10028
13627,39,10002,10032
13628,39,10002,10033
13659,10,3,10046
13660,12,3,10046
13661,18,3,10046
13662,18,10011,10047
14072,67,10011,10044
13728,3,1,10040
913728,3,1,10040
13792,26,10011,10047
14066,39,10002,10033
14548,1,1,10041
14549,13,1,10040
13747,39,10002,10033
14339,39,10002,10034
14340,18,10011,10047
14550,13,1,10040
14551,13,1,10041
13803,20,1,10040
13804,7,1,10041
13805,20,1,10040
13806,20,1,10041
13807,20,1,10041
13808,20,1,10041
13648,36,10006,10013
14189,13,1,10040
14638,39,10002,10035
14639,39,10002,10035
14640,39,10002,10033
14312,52,1,10040
14313,39,10002,10018
14314,80,1,10040
14704,7,1,10040
13835,12,3,10046
13809,53,1,10041
13810,53,1,10040
13811,7,1,10040
13812,53,1,10040
13813,54,1,10040
13814,54,2,10043
914286,1,1,10040
13765,39,10002,10033
13766,39,10002,10018
13880,39,10002,10035
14154,1,1,10040
14864,39,10002,10033
14865,39,10002,10033
14866,39,10002,10033
14721,14,1,10041
14834,39,1,10040
912836,1,1,10040
13749,39,10002,10018
13815,55,1,10040
13816,55,1,10040
13817,55,1,10040
13818,55,1,10041
13819,55,1,10041
13820,55,1,10040
13848,59,1,10040
13720,39,10002,10038
13721,39,10002,10038
14867,39,10002,10033
14868,39,10002,10033
14869,39,10002,10032
14835,52,1,10040
14552,13,2,10043
14906,2,1,10040
14949,26,1,10041
13849,59,1,10040
13850,59,1,10042
13851,59,1,10041
13852,59,1,10041
13853,59,1,10041
13854,59,1,10041
14673,13,3,10051
13844,39,10002,10032
14870,39,10002,10032
14871,39,10002,10031
14872,39,10002,10031
13549,39,10002,10038
13568,39,10002,10035
13569,39,10002,10035
13570,39,10002,10035
13571,39,10002,10035
13572,39,10002,10035
13573,39,10002,10035
13948,62,10002,10018
13855,59,1,10041
13856,59,1,10040
13857,59,1,10040
13858,59,1,10040
13859,59,1,10041
13860,59,1,10040
14315,18,10011,10047
913839,1,1,10040
14766,91,10010,10028
14767,91,10010,10028
14873,39,10002,10031
14874,39,10002,10031
14577,39,10002,10033
14578,39,10002,10033
14579,39,10002,10033
14580,39,10002,10033
13574,39,10002,10035
13620,39,10010,10028
13621,39,10002,10034
13622,39,10002,10034
13623,39,10002,10034
13624,39,10002,10034
13970,12,10011,10047
13861,59,1,10040
13862,59,1,10041
13863,59,1,10040
13864,59,1,10040
13865,59,1,10042
13866,59,1,10041
13867,59,1,10041
14674,28,1,10041
14768,60,2,10043
13782,1,1,10040
14226,1,1,10040
14875,39,10002,10031
14876,39,10002,10031
14877,39,10002,10031
14215,39,10002,10035
14581,39,10002,10033
14582,39,10002,10033
14583,39,10002,10033
14584,39,10002,10033
13576,39,10003,10014
13577,39,10003,10014
13578,39,10003,10014
13625,39,10010,10028
14067,39,10002,10033
14068,39,10002,10033
13652,39,10002,10018
13653,39,10002,10018
13868,59,1,10041
13869,59,1,10040
13890,39,10002,10033
13891,39,10002,10033
14769,60,2,10043
13598,39,10002,10033
13619,3,1,10040
735,39,10003,10014
14077,51,10002,10034
14878,39,10002,10031
13722,26,10011,10047
14585,39,10002,10033
14586,39,10002,10033
14587,39,10002,10033
14588,39,10002,10033
13588,39,10002,10033
13626,39,10002,10034
13729,39,10002,10033
13731,39,10002,10033
13732,39,10002,10033
13733,39,10002,10033
14069,39,10002,10033
912690,1,1,10041
13899,39,10002,10033
13902,18,10011,10047
14801,1,1,10040
13562,39,10010,10028
13650,39,10002,10033
14879,39,10002,10031
14880,39,10002,10031
14881,39,10002,10031
14589,39,10002,10033
14590,39,10002,10033
14591,39,10002,10033
14592,39,10002,10033
14593,39,10002,10033
13746,12,3,10046
13762,1,1,10040
913762,1,1,10040
13763,1,1,10040
913763,1,1,10040
13774,1,1,10041
14070,39,10002,10033
13903,18,10011,10047
13904,18,10011,10047
13916,39,10002,10018
13917,39,10002,10036
13900,39,10002,10033
13901,39,10002,10033
13905,39,10002,10018
13906,39,10002,10018
13907,39,10002,10018
14716,39,10002,10018
13564,39,10006,10013
13565,39,10006,10013
14430,39,10010,10028
14432,52,1,10040
14594,39,10002,10033
14595,39,10002,10033
13600,3,1,10040
913600,3,1,10040
13775,1,1,10040
13783,1,1,10040
13947,39,10002,10033
14364,39,10002,10032
14409,39,10002,10033
14946,13,1,10040
14947,13,1,10040
13791,39,10002,10033
13881,39,10002,10033
14053,39,10002,10036
14119,70,10012,10049
14791,28,1,10040
912460,1,1,10042
14596,39,10002,10033
14597,39,10002,10033
14598,39,10002,10033
14599,39,10002,10033
13761,18,3,10046
13838,39,10002,10035
13871,39,10002,10034
13872,39,10006,10011
13873,7,10006,10013
13888,39,10002,10034
14022,52,1,10040
14469,13,1,10041
14326,13,1,10040
14327,13,1,10040
912931,1,1,10040
13748,39,10002,10018
14816,39,10006,10011
14817,39,10006,10013
14882,39,10002,10033
14600,39,10002,10033
14762,52,1,10041
13629,39,10002,10033
13630,39,10002,10033
13631,39,10002,10033
13793,26,10011,10047
13794,26,10011,10047
13847,59,1,10040
13951,39,10002,10032
14220,13,1,10041
14328,39,10010,10028
14857,39,10002,10018
14858,39,10002,10033
14859,39,10002,10033
13840,39,10010,10028
13841,39,10010,10028
14717,88,1,10040
14434,14,1,10040
14435,14,1,10040
14436,14,1,10040
14437,13,1,10040
13589,26,10011,10047
13590,26,10011,10047
13591,26,10011,10047
13592,26,10011,10044
13593,26,10011,10044
13594,26,10011,10044
14230,39,10002,10031
14147,39,10002,10035
14623,39,10002,10034
14624,39,10002,10034
14625,39,10002,10035
14626,39,10002,10035
14860,39,10002,10033
13610,39,10010,10028
14063,39,10002,10033
14452,51,10002,10034
14454,51,10002,10034
14494,39,10002,10033
14438,13,1,10040
14440,13,1,10040
14442,81,1,10040
14443,14,1,10040
14444,13,1,10042
13595,26,10011,10047
13596,26,10011,10047
13601,1,1,10040
13638,26,2,10043
13643,39,10002,10032
13744,1,1,10041
14621,52,1,10040
14627,39,10002,10035
14628,39,10002,10035
14629,39,10002,10035
14861,39,10002,10033
13723,39,10002,10032
