27/01/2017;4161;103;CE;7704;2;10043;1;33;15;1246.9;1078.324577
27/01/2017;4161;103;CE;7559;2;10043;1;33;15;1305;1110.732333
30/01/2017;33205;103;RN;12671;2;10043;1;127;4;1350;1117.569012
30/01/2017;9067;103;CE;7790;2;10043;1;33;4;720;538.007523
30/01/2017;9067;103;CE;7559;2;10043;1;33;6;1300;1110.708408
30/01/2017;3251;103;AL;13106;2;10043;45;15;2;1280;1109.154
30/01/2017;11455;103;RN;912482;1;10040;1;59;2;224;175.444109
30/01/2017;8192;103;PI;13104;2;10043;26;28;7;1530;1318.530663
30/01/2017;14387;103;AL;7559;2;10043;1;15;1;1360;1111.294783
31/01/2017;4065;103;CE;12672;2;10043;1;33;8;1500;1264.499535
31/01/2017;3778;103;PE;12672;2;10043;1;1;12;1518;1264.652734
31/01/2017;3778;103;PE;7559;2;10043;1;1;39;1315;1110.912283
31/01/2017;4915;103;CE;7704;2;10043;1;17;2;1300;1078.775927
31/01/2017;2559;103;AL;13958;2;10043;13;141;2;1630;1297.696602
31/01/2017;3778;103;PE;7704;2;10043;1;1;12;1270;1078.515507
31/01/2017;1866;103;PE;7784;1;10041;3;1;6;359;304.25472
31/01/2017;6947;103;CE;7559;2;10043;1;33;6;1275;1110.477333
31/01/2017;31082;103;PE;12651;1;10040;2;166;2;211;167.880935
31/01/2017;14233;103;SE;7559;2;10043;1;108;12;1370;1111.383042
31/01/2017;30327;103;MA;7790;2;10043;1;174;3;680;543.024196
31/01/2017;2013;103;AL;7704;2;10043;1;31;4;1399;1078.296724
1/02/2017;11455;103;RN;7790;2;10043;1;59;4;718;534.306695
2/02/2017;25094;103;RN;12272;1;10042;3;59;2;450;340.512788
2/02/2017;32447;103;AL;912462;1;10040;1;141;20;158.9;125.804111
2/02/2017;31963;103;CE;7790;2;10043;1;263;3;685;537.07098
2/02/2017;31963;103;CE;912460;1;10042;1;263;2;350;226.121645
2/02/2017;11296;103;SE;7790;2;10043;1;108;4;705;534.196979
3/02/2017;33205;103;RN;12485;1;10041;3;127;4;690;405.134137
3/02/2017;3383;103;AL;912482;1;10040;1;141;2;255;177.607499
3/02/2017;9067;103;CE;912524;1;10040;1;33;4;225;152.46
3/02/2017;9067;103;CE;12684;10002;10018;39;33;4;7;0.524091
